condorcet winner: Elizabeth Glidden,David Regan,Elizabeth Glidden,Gregory McDonald,Jeanine Estime,Michael J. Cavlan
David Regan,,7.44,28.00,13.80,36.84
Elizabeth Glidden,92.56,,91.37,81.49,94.15
Gregory McDonald,72.00,8.63,,20.59,61.64
Jeanine Estime,86.20,18.51,79.41,,88.20
Michael J. Cavlan,63.16,5.85,38.36,11.80,
