condorcet winner: Andy Montroll,Andy Montroll,Bob Kiss,Dan Smith,James Simpson,Kurt Wright,Write-in
Andy Montroll,,53.90,60.39,91.38,55.65,98.52
Bob Kiss,46.10,,52.45,86.74,51.51,98.19
Dan Smith,39.61,47.55,,88.54,48.85,98.17
James Simpson,8.62,13.26,11.46,,19.90,95.40
Kurt Wright,44.35,48.49,51.15,80.10,,97.40
Write-in,1.48,1.81,1.83,4.60,2.60,
