condorcet winner: BLONG YANG,BLONG YANG,BRETT BUCKNER,IAN ALEXANDER,KALE R. SEVERSON
BLONG YANG,,64.71,56.92,84.90
BRETT BUCKNER,35.29,,43.46,77.18
IAN ALEXANDER,43.08,56.54,,79.44
KALE R. SEVERSON,15.10,22.82,20.56,
