condorcet winner: ALONDRA CANO,ABDI ABDULLE,ALONDRA CANO,CHARLES CURTIS,GREGORY MCDONALD,PAT FLEETHAM,TY MOORE
ABDI ABDULLE,,15.84,53.59,69.40,56.21,21.77
ALONDRA CANO,84.16,,82.54,90.51,86.22,53.06
CHARLES CURTIS,46.41,17.46,,67.42,53.77,21.18
GREGORY MCDONALD,30.60,9.49,32.58,,32.86,14.16
PAT FLEETHAM,43.79,13.78,46.23,67.14,,19.92
TY MOORE,78.23,46.94,78.82,85.84,80.08,
