condorcet winner: ERIC MAR,ALICIA WANG,BRIAN J. LARKIN,ERIC MAR,FIDEL CHRYS GAKUBA,GEORGE FLAMIK,JASON JUNGREIS,NICHOLAS C. BELLONI,SHERMAN R. D''SILVA,SUE LEE
ALICIA WANG,,85.96,41.48,91.71,92.17,89.89,88.56,94.06,37.45
BRIAN J. LARKIN,14.04,,14.68,65.67,71.15,59.70,57.47,76.68,12.72
ERIC MAR,58.52,85.32,,91.80,91.78,90.17,88.95,94.52,50.67
FIDEL CHRYS GAKUBA,8.29,34.33,8.20,,52.52,43.55,40.88,61.59,6.89
GEORGE FLAMIK,7.83,28.85,8.22,47.48,,40.53,37.86,59.07,6.51
JASON JUNGREIS,10.11,40.30,9.83,56.45,59.47,,47.19,67.71,8.99
NICHOLAS C. BELLONI,11.44,42.53,11.05,59.12,62.14,52.81,,70.45,9.67
SHERMAN R. D''SILVA,5.94,23.32,5.48,38.41,40.93,32.29,29.55,,5.00
SUE LEE,62.55,87.28,49.33,93.11,93.49,91.01,90.33,95.00,
