condorcet winner: Brad Bourn,Brad Bourn,Geneva Hanvik,Meg Forney,Steven Jecha
Brad Bourn,,86.34,55.09,76.19
Geneva Hanvik,13.66,,10.27,29.75
Meg Forney,44.91,89.73,,74.10
Steven Jecha,23.81,70.25,25.90,
