condorcet winner: LEE THOMAS,ALLEN SCHOENFELD,LEE THOMAS,VICTOR AGUILAR
ALLEN SCHOENFELD,,22.80,25.98
LEE THOMAS,77.20,,59.64
VICTOR AGUILAR,74.02,40.36,
