condorcet winner: CHESA BOUDIN,CHESA BOUDIN,LEIF DAUTCH,NANCY TUNG,SUZY LOFTUS
CHESA BOUDIN,,59.37,56.99,50.83
LEIF DAUTCH,40.63,,48.90,39.90
NANCY TUNG,43.01,51.10,,41.40
SUZY LOFTUS,49.17,60.10,58.60,
