condorcet winner: SCOTT WIENER,BILL HEMENGER,RAFAEL MANDELMAN,REBECCA PROZAN,SCOTT WIENER
BILL HEMENGER,,20.42,15.60,11.81
RAFAEL MANDELMAN,79.58,,53.18,44.61
REBECCA PROZAN,84.40,46.82,,38.93
SCOTT WIENER,88.19,55.39,61.07,
