condorcet winner: Pat McCarthy,Calvin Goings,Mike Lonergan,Pat McCarthy,Shawn Bunney
Calvin Goings,,59.06,46.77,51.10
Mike Lonergan,40.94,,40.24,43.34
Pat McCarthy,53.23,59.76,,50.75
Shawn Bunney,48.90,56.66,49.25,
