condorcet winner: JUMOKE HINTON HODGE,BENJAMIN LANG,JUMOKE HINTON HODGE,RICHARD FUENTES
BENJAMIN LANG,,38.41,48.33
JUMOKE HINTON HODGE,61.59,,61.03
RICHARD FUENTES,51.67,38.97,
