condorcet winner: CRISTY WELSH,ANTHONY JENKINS,CRISTY WELSH,DAVID LAURET,G. TYCE FLAKE,HECTOR RAFAEL HERNANDEZ,KEITH KUDER,TAY GUDMUNDSON
ANTHONY JENKINS,,26.17,42.96,31.86,62.30,63.39,61.43
CRISTY WELSH,73.83,,65.60,56.13,80.82,76.38,85.48
DAVID LAURET,57.04,34.40,,34.73,69.13,75.91,67.35
G. TYCE FLAKE,68.14,43.87,65.27,,76.92,77.58,78.27
HECTOR RAFAEL HERNANDEZ,37.70,19.18,30.87,23.08,,62.99,46.63
KEITH KUDER,36.61,23.62,24.09,22.42,37.01,,40.09
TAY GUDMUNDSON,38.57,14.52,32.65,21.73,53.37,59.91,
