condorcet winner: Barbara A. Johnson,Barbara A. Johnson,Grant Cermak,Marcus Harcus,Troy Parker
Barbara A. Johnson,,74.15,68.13,58.16
Grant Cermak,25.85,,39.44,27.54
Marcus Harcus,31.87,60.56,,33.55
Troy Parker,41.84,72.46,66.45,
