condorcet winner: KRISS WORTHINGTON,CECILIA ''CES'' ROSALES,GEORGE BEIER,KRISS WORTHINGTON
CECILIA ''CES'' ROSALES,,40.37,31.66
GEORGE BEIER,59.63,,41.11
KRISS WORTHINGTON,68.34,58.89,
