condorcet winner: ANNIE CAMPBELL WASHINGTON,ANNIE CAMPBELL WASHINGTON,JILL BROADHURST,PAUL LIM
ANNIE CAMPBELL WASHINGTON,,66.93,87.69
JILL BROADHURST,33.07,,81.84
PAUL LIM,12.31,18.16,
