condorcet winner: DAVID CAMPOS,DAVID CAMPOS,ERIC QUEZADA,ERIC STOREY,EVA ROYALE,MARK SANCHEZ,TOM VALTIN,VERN MATHEWS
DAVID CAMPOS,,61.92,91.42,82.46,53.83,88.78,93.66
ERIC QUEZADA,38.08,,88.77,76.52,44.63,84.35,91.59
ERIC STOREY,8.58,11.23,,25.56,8.84,38.20,58.67
EVA ROYALE,17.54,23.48,74.44,,18.87,64.19,81.26
MARK SANCHEZ,46.17,55.37,91.16,81.13,,88.42,93.27
TOM VALTIN,11.22,15.65,61.80,35.81,11.58,,70.02
VERN MATHEWS,6.34,8.41,41.33,18.74,6.73,29.98,
