condorcet winner: Brad Bourn,Bob Fine,Brad Bourn,Jennifer Zielinski,"Robert M Schlosser ""Bob"""
Bob Fine,,49.09,75.17,87.52
Brad Bourn,50.91,,71.17,83.45
Jennifer Zielinski,24.83,28.83,,74.55
"Robert M Schlosser ""Bob""",12.48,16.55,25.45,
