condorcet winner: Lisa Goodman,Janne Flisrand,Joe Kovacs,Lisa Goodman,Teqen Z̩a-Aida
Janne Flisrand,,83.95,38.94,73.53
Joe Kovacs,16.05,,11.06,22.04
Lisa Goodman,61.06,88.94,,73.15
Teqen Z̩a-Aida,26.47,77.96,26.85,
