condorcet winner: Sophie Maxwell,Charlie Walker,Dwayne Jusino,Espanola Jackson,Marie L. Harrison,Rodney Hampton Jr.,Sala Chandler,Sophie Maxwell
Charlie Walker,,31.74,24.94,26.88,27.98,54.49,9.13
Dwayne Jusino,68.26,,45.87,46.17,48.40,74.68,20.02
Espanola Jackson,75.06,54.13,,49.92,53.34,77.81,21.78
Marie L. Harrison,73.12,53.83,50.08,,52.27,77.94,18.97
Rodney Hampton Jr.,72.02,51.60,46.66,47.73,,75.36,19.13
Sala Chandler,45.51,25.32,22.19,22.06,24.64,,7.62
Sophie Maxwell,90.87,79.98,78.22,81.03,80.87,92.38,
