condorcet winner: LINDA MAIO,ANTHONY Di DONATO,JASPER KINGETER,LINDA MAIO,MERRILIE MITCHELL
ANTHONY Di DONATO,,14.97,10.71,24.64
JASPER KINGETER,85.03,,28.92,67.77
LINDA MAIO,89.29,71.08,,80.07
MERRILIE MITCHELL,75.36,32.23,19.93,
