condorcet winner: NIKKI FORTUNATO BAS,ABEL GUILLÃ‰N,KENZIE DONTE SMITH,NIKKI FORTUNATO BAS
ABEL GUILLÃ‰N,,72.88,41.87
KENZIE DONTE SMITH,27.12,,13.97
NIKKI FORTUNATO BAS,58.13,86.03,
