condorcet winner: SEAN R. ELSBERND,BILLY BOB WHITMER,JULIAN P. LAGOS,SEAN R. ELSBERND
BILLY BOB WHITMER,,29.97,20.23
JULIAN P. LAGOS,70.03,,25.16
SEAN R. ELSBERND,79.77,74.84,
