condorcet winner: LARRY E. REID,BEVERLY WILLIAMS,LARRY E. REID,SHERYL WALTON
BEVERLY WILLIAMS,,23.81,27.81
LARRY E. REID,76.19,,62.60
SHERYL WALTON,72.19,37.40,
