condorcet winner: Sarah A. Lucido,Harvey Curley,Larry Edwards,Mary Hall-Rayford,Sarah A. Lucido
Harvey Curley,,66.75,55.11,42.25
Larry Edwards,33.25,,38.57,21.67
Mary Hall-Rayford,44.89,61.43,,32.93
Sarah A. Lucido,57.75,78.33,67.07,
