condorcet winner: REBECCA KAPLAN,BRUCE QUAN,FRANCIS ''MATT'' HUMMEL,NANCY SIDEBOTHAM,PEGGY MOORE,REBECCA KAPLAN
BRUCE QUAN,,76.64,79.46,49.08,28.79
FRANCIS ''MATT'' HUMMEL,23.36,,54.11,23.72,15.82
NANCY SIDEBOTHAM,20.54,45.89,,18.88,12.58
PEGGY MOORE,50.92,76.28,81.12,,31.22
REBECCA KAPLAN,71.21,84.18,87.42,68.78,
