Ballots with first choice:,Number of Ballots,"Bowman, Manikka L. ranked in top 3","Cisternino, Pia ranked in top 3","Cronin, Fran Albin ranked in top 3","Crutchfield, Jake W. ranked in top 3","Dexter, Emily R. ranked in top 3","Fantini, Alfred B. ranked in top 3","Harding, Jr., Richard ranked in top 3","Kadete, Elechi M. ranked in top 3","Kelly, Kathleen M. ranked in top 3","Nolan, Patricia M. ranked in top 3","Weinstein, David J. ranked in top 3",writeIns ranked in top 3
"Bowman, Manikka L.",1488.0,100.0,15.05,16.33,12.16,18.08,11.09,19.83,12.9,21.1,24.19,9.81,0.07
"Cisternino, Pia",656.0,19.05,100.0,18.29,19.21,23.02,11.89,12.04,10.67,14.18,30.18,12.8,0.15
"Cronin, Fran Albin",1417.0,13.27,6.14,100.0,6.77,12.84,23.92,19.69,2.96,28.51,37.26,7.97,0.0
"Crutchfield, Jake W.",1221.0,14.58,12.94,7.7,100.0,14.91,8.93,12.53,11.3,13.51,24.49,9.17,0.16
"Dexter, Emily R.",1402.0,18.12,21.4,13.69,10.84,100.0,10.98,12.34,7.99,19.26,41.51,9.42,0.21
"Fantini, Alfred B.",2721.0,7.31,5.84,14.08,3.9,5.7,100.0,33.7,3.93,24.7,23.48,5.77,0.26
"Harding, Jr., Richard",1988.0,14.69,3.62,12.68,8.05,6.04,27.06,100.0,9.51,26.76,24.7,5.73,0.2
"Kadete, Elechi M.",426.0,23.0,8.92,10.33,17.37,15.02,10.33,25.59,100.0,18.08,20.66,11.97,0.0
"Kelly, Kathleen M.",1710.0,17.08,5.67,24.62,5.38,13.74,14.33,21.17,3.74,100.0,43.92,8.01,0.29
"Nolan, Patricia M.",3005.0,14.04,15.11,23.03,9.22,20.63,14.64,18.0,4.06,29.45,100.0,10.02,0.13
"Weinstein, David J.",695.0,22.88,15.11,14.68,14.24,14.82,10.22,13.96,7.77,16.26,23.6,100.0,0.29
writeIns,62.0,3.23,8.06,6.45,3.23,4.84,1.61,6.45,4.84,8.06,14.52,3.23,100.0
