Ballots with first choice:,Number of Ballots,"Davis, Henrietta ranked in top 3","Decker, Marjorie C. ranked in top 3","Galluccio, Anthony D. ranked in top 3","Janik, Jonathan S. ranked in top 3","Kelley, Craig A. ranked in top 3","Maher, David P. ranked in top 3","Moore, M. Kevin ranked in top 3","Moree, Gregg J. ranked in top 3","Murphy, Brian ranked in top 3","Podgers, Kathy ranked in top 3","Reeves, Kenneth E. ranked in top 3","Seidel, Sam ranked in top 3","Simmons, E. Denise ranked in top 3","Sullivan, Edward J. ranked in top 3","Toomey, Timothy J., Jr. ranked in top 3","Ward, Larry W. ranked in top 3",writeIns ranked in top 3
"Davis, Henrietta",1591.0,100.0,38.47,6.66,3.58,15.59,11.75,1.26,0.57,27.09,2.01,10.25,19.55,29.79,2.51,6.03,8.23,0.06
"Decker, Marjorie C.",1068.0,37.17,100.0,9.93,3.37,10.77,10.58,3.18,1.59,18.45,1.97,17.32,15.45,28.93,6.09,8.8,8.24,0.0
"Galluccio, Anthony D.",521.0,10.56,13.44,100.0,2.69,9.4,24.95,6.14,2.11,8.25,1.54,18.04,4.61,13.63,22.46,30.9,5.37,0.58
"Janik, Jonathan S.",260.0,22.31,13.08,7.31,100.0,9.62,10.38,8.46,5.0,12.69,7.31,9.23,20.0,9.62,6.54,9.62,15.38,1.15
"Kelley, Craig A.",1118.0,28.0,18.34,4.56,4.38,100.0,14.13,5.19,2.5,21.02,3.22,7.96,25.76,16.28,5.19,9.03,13.06,0.27
"Maher, David P.",1310.0,11.98,12.98,15.04,2.44,10.38,100.0,2.75,2.14,16.18,1.15,7.33,7.1,8.78,32.75,35.73,4.2,0.0
"Moore, M. Kevin",250.0,10.0,9.2,9.2,3.2,4.4,4.4,100.0,8.0,9.6,5.2,31.2,8.4,25.6,9.6,7.6,28.0,0.0
"Moree, Gregg J.",111.0,8.11,13.51,8.11,12.61,12.61,12.61,18.92,100.0,8.11,9.91,8.11,10.81,13.51,12.61,10.81,11.71,0.0
"Murphy, Brian",1159.0,37.79,26.49,5.78,3.45,14.93,12.51,1.9,0.26,100.0,1.55,10.09,24.5,16.74,3.36,5.18,9.4,0.09
"Podgers, Kathy",92.0,17.39,9.78,1.09,8.7,16.3,6.52,17.39,7.61,8.7,100.0,11.96,25.0,18.48,13.04,4.35,14.13,0.0
"Reeves, Kenneth E.",1216.0,17.6,19.98,12.75,1.56,4.93,7.24,11.6,1.23,7.65,0.99,100.0,7.48,42.27,9.05,14.64,10.61,0.08
"Seidel, Sam",1037.0,37.99,21.5,5.01,9.93,18.9,8.58,3.66,1.35,28.83,1.83,5.4,100.0,17.26,2.8,3.76,21.12,0.1
"Simmons, E. Denise",994.0,32.09,27.06,7.14,1.71,8.15,5.43,11.07,1.01,11.77,2.21,28.07,12.98,100.0,6.44,9.46,15.19,0.1
"Sullivan, Edward J.",829.0,6.51,11.34,19.78,2.65,7.96,35.95,5.91,2.17,7.84,2.05,7.12,3.14,5.19,100.0,45.84,4.7,0.36
"Toomey, Timothy J., Jr.",1336.0,10.48,14.22,28.52,1.87,6.59,25.15,2.1,2.47,7.04,1.05,10.85,3.22,9.28,30.91,100.0,3.89,0.15
"Ward, Larry W.",698.0,26.79,18.48,8.45,6.02,14.33,5.73,13.75,2.29,16.62,1.72,13.47,20.77,24.93,4.01,3.72,100.0,0.43
writeIns,25.0,4.0,4.0,4.0,4.0,4.0,0.0,8.0,4.0,8.0,4.0,8.0,16.0,12.0,4.0,8.0,0.0,100.0
