Ballots with first choice:,Number of Ballots,"Cronin, Fran Albin ranked in top 3","Fantini, Alfred B. ranked in top 3","Gerber, Joyce C. ranked in top 3","Harding, Jr., Richard ranked in top 3","Holland, John J. ranked in top 3","Kadete, Elechi M. ranked in top 3","Kelly, Kathleen M. ranked in top 3","Nolan, Patricia M. ranked in top 3","Osborne, Mervan F. ranked in top 3",writeIns ranked in top 3
"Cronin, Fran Albin",1832,1832,259,421,250,152,151,515,706,367,5
"Fantini, Alfred B.",2858,238,2858,278,1047,331,122,386,852,342,5
"Gerber, Joyce C.",1125,282,163,1125,163,161,110,277,520,180,3
"Harding, Jr., Richard",2359,182,686,149,2359,132,243,364,753,639,13
"Holland, John J.",589,100,161,95,77,589,77,107,159,56,0
"Kadete, Elechi M.",493,87,67,75,139,53,493,119,118,111,0
"Kelly, Kathleen M.",2102,573,262,380,429,162,221,2102,797,433,4
"Nolan, Patricia M.",3921,793,851,912,871,289,261,908,3921,1102,17
"Osborne, Mervan F.",1238,286,256,171,356,44,117,277,449,1238,2
writeIns,72,5,2,1,3,2,1,4,6,4,72
