Ballots with first choice:,Number of Ballots,"Bowman, Manikka L. ranked in top 3","Cronin, Fran A. ranked in top 3","Crutchfield, Jake W. ranked in top 3","Dexter, Emily R. ranked in top 3","Fantini, Alfred B. ranked in top 3","Kadete, Elechi M. ranked in top 3","Kelly, Kathleen M. ranked in top 3","Kimbrough, Laurance V. ranked in top 3","MacArthur, William ranked in top 3","Mitros, Piotr Flawiusz ranked in top 3","Nolan, Patricia M. ranked in top 3","Weinstein, David J. ranked in top 3",writeIns ranked in top 3
"Bowman, Manikka L.",2768,2768,485,234,858,348,409,607,485,141,117,759,157,4
"Cronin, Fran A.",1571,349,1571,150,379,210,114,336,167,105,67,482,138,1
"Crutchfield, Jake W.",1038,176,124,1038,283,109,114,111,113,137,88,264,104,2
"Dexter, Emily R.",2376,529,276,325,2376,322,212,587,306,179,193,1004,226,0
"Fantini, Alfred B.",2728,348,315,130,330,2728,115,695,312,140,63,742,169,6
"Kadete, Elechi M.",845,196,88,119,147,99,845,85,152,68,59,159,73,2
"Kelly, Kathleen M.",1880,538,223,80,532,312,85,1880,144,102,72,744,109,1
"Kimbrough, Laurance V.",1855,562,205,186,438,286,270,235,1855,174,100,425,164,7
"MacArthur, William",795,152,102,110,198,72,80,96,134,795,58,185,75,2
"Mitros, Piotr Flawiusz",511,93,77,62,133,40,61,53,60,65,511,150,90,1
"Nolan, Patricia M.",3457,946,547,294,1352,466,227,855,239,171,168,3457,263,5
"Weinstein, David J.",797,151,127,88,186,79,61,107,71,50,67,191,797,4
writeIns,78,4,3,1,5,1,1,3,0,1,1,9,2,78
