Ballots with first choice:,Number of Ballots,"Benzan, Dennis A. ranked in top 3","Carlone, Dennis J. ranked in top 3","Cheung, Leland ranked in top 3","Connolly, Mike ranked in top 3","Courtney, Kim ranked in top 3","Davidson, Mariko ranked in top 3","Degoes, Jr., Plinio T. ranked in top 3","Devereux, Jan ranked in top 3","Dietrich, Xavier ranked in top 3","Kelley, Craig A. ranked in top 3","Levy, Ilan S. ranked in top 3","Maher, David P. ranked in top 3","Mahoney, Jr., Paul F. ranked in top 3","Mazen, Nadeem A. ranked in top 3","McGovern, Marc C. ranked in top 3","Mello, Gary W. ranked in top 3","Moree, Gregg J. ranked in top 3","Sanzone, John ranked in top 3","Simmons, E. Denise ranked in top 3","Toomey, Jr., Timothy J. ranked in top 3","Waite, Romaine ranked in top 3","Williamson, James M. ranked in top 3","vanBeuzekom, Minka Y. ranked in top 3",writeIns ranked in top 3
"Benzan, Dennis A.",1158.0,100.0,9.15,17.18,3.8,1.3,3.2,0.43,2.5,1.04,8.12,1.04,15.28,1.73,8.81,19.86,0.78,0.86,0.6,42.92,18.57,4.92,1.04,5.96,0.0
"Carlone, Dennis J.",998.0,5.61,100.0,12.53,37.68,0.6,7.72,0.6,38.98,0.3,11.12,1.2,6.91,0.9,33.87,9.72,1.0,0.8,0.2,7.72,1.6,3.41,0.2,10.92,0.1
"Cheung, Leland",1187.0,13.56,8.34,100.0,5.64,2.53,9.77,1.18,7.08,0.93,19.04,0.76,23.5,1.85,13.73,27.04,0.84,0.42,0.34,27.21,9.27,1.6,0.67,12.3,0.08
"Connolly, Mike",841.0,6.18,36.39,8.8,100.0,2.5,13.2,1.55,26.99,0.48,7.49,2.97,4.88,1.55,33.53,9.04,1.07,0.48,0.59,9.99,4.4,6.66,1.07,12.13,0.12
"Courtney, Kim",72.0,4.17,4.17,2.78,4.17,100.0,12.5,15.28,20.83,37.5,2.78,5.56,2.78,4.17,8.33,2.78,9.72,0.0,1.39,12.5,6.94,2.78,1.39,9.72,0.0
"Davidson, Mariko",853.0,6.68,8.44,16.76,13.25,3.87,100.0,2.7,12.78,0.23,8.68,1.99,5.04,0.82,45.02,7.85,0.59,0.35,1.52,11.37,4.45,19.7,0.82,14.77,0.12
"Degoes, Jr., Plinio T.",51.0,9.8,3.92,11.76,11.76,0.0,17.65,100.0,19.61,9.8,5.88,11.76,3.92,1.96,15.69,1.96,1.96,1.96,0.0,5.88,1.96,5.88,5.88,15.69,0.0
"Devereux, Jan",1306.0,4.13,38.9,13.94,29.02,1.0,7.96,1.07,100.0,1.15,8.04,2.14,11.94,1.15,29.79,9.49,0.77,0.84,0.23,7.96,1.15,5.36,1.0,11.03,0.08
"Dietrich, Xavier",26.0,7.69,3.85,7.69,7.69,46.15,11.54,0.0,3.85,100.0,23.08,11.54,3.85,3.85,11.54,11.54,7.69,0.0,0.0,0.0,3.85,0.0,3.85,3.85,0.0
"Kelley, Craig A.",1433.0,11.51,10.47,28.61,6.42,1.12,6.21,0.42,9.98,0.56,100.0,1.4,21.98,1.05,14.58,22.82,0.77,0.7,0.42,17.66,5.93,1.12,0.98,12.98,0.14
