Ballots with first choice:,Number of Ballots,"Benzan, Dennis A. ranked in top 3","Carlone, Dennis J. ranked in top 3","Cheung, Leland ranked in top 3","Connolly, Mike ranked in top 3","Courtney, Kim ranked in top 3","Davidson, Mariko ranked in top 3","Degoes, Jr., Plinio T. ranked in top 3","Devereux, Jan ranked in top 3","Dietrich, Xavier ranked in top 3","Kelley, Craig A. ranked in top 3","Levy, Ilan S. ranked in top 3","Maher, David P. ranked in top 3","Mahoney, Jr., Paul F. ranked in top 3","Mazen, Nadeem A. ranked in top 3","McGovern, Marc C. ranked in top 3","Mello, Gary W. ranked in top 3","Moree, Gregg J. ranked in top 3","Sanzone, John ranked in top 3","Simmons, E. Denise ranked in top 3","Toomey, Jr., Timothy J. ranked in top 3","Waite, Romaine ranked in top 3","Williamson, James M. ranked in top 3","vanBeuzekom, Minka Y. ranked in top 3",writeIns ranked in top 3
"Benzan, Dennis A.",1158,1158,106,199,44,15,37,5,29,12,94,12,177,20,102,230,9,10,7,497,215,57,12,69,0
"Carlone, Dennis J.",998,56,998,125,376,6,77,6,389,3,111,12,69,9,338,97,10,8,2,77,16,34,2,109,1
"Cheung, Leland",1187,161,99,1187,67,30,116,14,84,11,226,9,279,22,163,321,10,5,4,323,110,19,8,146,1
"Connolly, Mike",841,52,306,74,841,21,111,13,227,4,63,25,41,13,282,76,9,4,5,84,37,56,9,102,1
"Courtney, Kim",72,3,3,2,3,72,9,11,15,27,2,4,2,3,6,2,7,0,1,9,5,2,1,7,0
"Davidson, Mariko",853,57,72,143,113,33,853,23,109,2,74,17,43,7,384,67,5,3,13,97,38,168,7,126,1
"Degoes, Jr., Plinio T.",51,5,2,6,6,0,9,51,10,5,3,6,2,1,8,1,1,1,0,3,1,3,3,8,0
"Devereux, Jan",1306,54,508,182,379,13,104,14,1306,15,105,28,156,15,389,124,10,11,3,104,15,70,13,144,1
"Dietrich, Xavier",26,2,1,2,2,12,3,0,1,26,6,3,1,1,3,3,2,0,0,0,1,0,1,1,0
"Kelley, Craig A.",1433,165,150,410,92,16,89,6,143,8,1433,20,315,15,209,327,11,10,6,253,85,16,14,186,2
"Levy, Ilan S.",153,9,21,14,37,11,24,3,22,6,7,153,6,7,22,5,12,1,1,9,18,13,4,23,1
"Maher, David P.",1637,269,70,305,42,10,22,3,109,7,230,18,1637,175,122,441,10,17,7,387,549,16,8,71,1
"Mahoney, Jr., Paul F.",251,26,7,32,16,4,3,0,11,1,22,3,88,251,16,30,6,8,3,22,103,3,1,11,0
"Mazen, Nadeem A.",1929,153,319,214,308,39,623,15,213,6,125,31,132,19,1929,210,33,20,31,202,81,381,31,175,5
"McGovern, Marc C.",1202,309,84,308,72,3,79,4,79,7,154,4,228,23,140,1202,21,6,4,427,106,19,4,162,0
"Mello, Gary W.",117,7,14,15,12,10,11,3,5,10,14,9,16,9,9,7,117,13,11,2,10,4,5,9,0
"Moree, Gregg J.",77,9,3,13,3,0,3,1,3,0,5,0,13,3,10,8,3,77,7,19,10,2,2,4,0
"Sanzone, John",32,0,0,5,3,1,8,1,2,1,6,1,3,0,3,2,3,2,32,3,7,2,1,1,0
"Simmons, E. Denise",1710,578,106,377,88,20,65,7,61,15,166,17,287,22,177,348,9,21,12,1710,317,84,20,178,3
"Toomey, Jr., Timothy J.",1415,212,56,182,127,14,30,4,11,3,133,58,477,109,59,182,17,14,17,301,1415,18,13,56,5
"Waite, Romaine",273,40,39,23,36,4,65,6,34,2,18,5,8,4,101,24,0,0,2,46,9,273,4,28,1
"Williamson, James M.",72,9,6,7,10,1,1,2,4,0,8,12,7,0,9,7,19,1,3,5,4,7,72,12,0
"vanBeuzekom, Minka Y.",1014,99,178,228,152,23,116,9,134,8,151,24,78,12,201,135,15,12,9,142,38,37,17,1014,1
writeIns,26,0,0,1,3,1,1,1,1,0,1,1,0,3,3,1,0,0,1,0,0,2,0,1,26
