Ballots with first choice:,Number of Ballots,"Fantini, Alfred B. ranked in top 3","Forster, Bill ranked in top 3","Gerber, Joyce C. ranked in top 3","Harding, Jr., Richard ranked in top 3","Holland, John J. ranked in top 3","McGovern, Marc C. ranked in top 3","Nolan, Patricia M. ranked in top 3","Osborne, Mervan F. ranked in top 3","Stead, Sr., Charles Lewis ranked in top 3","Tauber, Nancy ranked in top 3","Turkel, Alice L. ranked in top 3",writeIns ranked in top 3
"Fantini, Alfred B.",2372.0,100.0,7.17,6.07,25.25,10.33,25.67,13.24,6.28,7.34,13.32,13.87,0.34
"Forster, Bill",329.0,14.29,100.0,33.43,10.03,27.96,14.89,16.11,19.45,10.03,10.64,9.73,0.61
"Gerber, Joyce C.",434.0,11.29,13.59,100.0,15.21,14.75,17.51,25.12,18.2,9.22,25.12,16.59,0.0
"Harding, Jr., Richard",1850.0,19.19,3.24,4.97,100.0,4.22,25.35,17.73,17.57,16.81,14.76,20.27,0.32
"Holland, John J.",387.0,29.46,14.21,12.4,9.04,100.0,20.41,15.5,16.28,9.56,16.28,10.34,0.0
"McGovern, Marc C.",1769.0,15.72,3.9,5.65,18.82,4.01,100.0,30.36,15.43,4.41,31.54,30.92,0.06
"Nolan, Patricia M.",2125.0,9.93,5.74,10.78,16.56,5.08,27.06,100.0,25.74,3.15,30.49,32.8,0.24
"Osborne, Mervan F.",2065.0,7.89,6.92,7.07,19.76,4.75,20.68,29.25,100.0,5.96,28.38,28.43,0.34
"Stead, Sr., Charles Lewis",293.0,14.68,11.26,11.6,31.4,11.95,12.63,8.19,17.75,100.0,14.68,17.41,0.34
"Tauber, Nancy",1489.0,17.6,3.43,8.39,12.16,4.5,24.24,28.34,19.88,2.15,100.0,41.71,0.07
"Turkel, Alice L.",2111.0,10.28,3.79,5.97,14.54,2.42,25.11,33.87,17.2,2.84,41.92,100.0,0.14
writeIns,56.0,12.5,3.57,5.36,3.57,3.57,3.57,3.57,5.36,3.57,0.0,5.36,100.0
