candidate,r1_active_percent,r1_count,r1_transfer,r2_active_percent,r2_count,r2_transfer,r3_active_percent,r3_count,r3_transfer,r4_active_percent,r4_count,r4_transfer,r5_active_percent,r5_count,r5_transfer,r6_active_percent,r6_count,r6_transfer,r7_active_percent,r7_count,r7_transfer,r8_active_percent,r8_count,r8_transfer,r9_active_percent,r9_count,r9_transfer,r10_active_percent,r10_count,r10_transfer
Bernie Sanders,32.967,6723.0,1.0,32.972,6724.0,5.0,32.998,6729.0,1.0,33.011,6730.0,43.0,33.247,6773.0,25.0,33.423,6798.0,10.0,33.74,6808.0,29.0,33.991,6837.0,301.0,36.243,7138.0,483.0,39.04,7621.0,
Tulsi Gabbard,4.565,931.0,0.0,4.565,931.0,0.0,4.566,931.0,6.0,4.596,937.0,25.0,4.722,962.0,9.0,4.774,971.0,2.0,4.822,973.0,17.0,4.922,990.0,-990.0,0.0,0.0,0.0,0.0,0.0,
Joseph R. Biden,53.979,11008.0,2.0,53.989,11010.0,5.0,54.016,11015.0,13.0,54.093,11028.0,30.0,54.28,11058.0,79.0,54.757,11137.0,13.0,55.258,11150.0,97.0,55.916,11247.0,212.0,58.182,11459.0,441.0,60.96,11900.0,
Elizabeth Warren,4.663,951.0,1.0,4.668,952.0,3.0,4.683,955.0,19.0,4.778,974.0,23.0,4.894,997.0,27.0,5.035,1024.0,4.0,5.095,1028.0,12.0,5.171,1040.0,58.0,5.575,1098.0,-1098.0,0.0,0.0,
Tom Steyer,0.093,19.0,0.0,0.093,19.0,-19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Uncommitted,0.907,185.0,0.0,0.907,185.0,1.0,0.912,186.0,0.0,0.912,186.0,5.0,0.938,191.0,1.0,0.944,192.0,-192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Amy Klobuchar,0.289,59.0,1.0,0.294,60.0,1.0,0.299,61.0,-61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Pete Buttigieg,0.775,158.0,1.0,0.78,159.0,0.0,0.78,159.0,11.0,0.834,170.0,16.0,0.913,186.0,-186.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Andrew Yang,0.755,154.0,1.0,0.76,155.0,0.0,0.76,155.0,4.0,0.78,159.0,-159.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Deval Patrick,0.034,7.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Michael R.,0.971,198.0,0.0,0.971,198.0,3.0,0.986,201.0,2.0,0.996,203.0,2.0,1.006,205.0,12.0,1.067,217.0,2.0,1.085,219.0,-219.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
exhaust,0.0,56.0,0.0,0.0,56.0,1.0,0.0,57.0,5.0,0.0,62.0,15.0,0.0,77.0,33.0,0.0,110.0,161.0,0.0,271.0,64.0,0.0,335.0,419.0,0.0,754.0,174.0,0.0,928.0,
colsum,99.998,20449.0,0.0,99.99900000000001,20449.0,0.0,100.00000000000003,20449.0,0.0,100.00000000000001,20449.0,0.0,100.0,20449.0,0.0,100.0,20449.0,0.0,100.0,20449.0,0.0,100.0,20449.0,0.0,100.00000000000001,20449.0,0.0,100.0,20449.0,
