"condorcet winner: Galluccio, Anthony D.","Condit, James E., III","Davis, Henrietta","Decker, Marjorie C.","Dixon, Vincent Lawrence","Galluccio, Anthony D.","Hall, Robert L.","Horowitz, Jacob","Iskovitz, Steve","Jens, Steven E.","King, Ethridge A.","Maher, David P.","Murphy, Brian","Peixoto, Helder","Pitkin, John","Reeves, Kenneth E.","Simmons, Denise","Sullivan, Michael A.","Toomey, Timothy J., Jr.","Williamson, James M.",writeIns
"Condit, James E., III",,8.23,8.50,46.68,5.73,39.22,23.82,34.76,43.93,15.39,9.59,10.31,42.07,13.39,10.85,8.67,7.68,9.47,47.20,91.53
"Davis, Henrietta",91.77,,52.40,90.80,45.62,88.60,87.25,87.41,89.98,75.36,58.85,57.30,90.42,67.40,61.15,54.54,54.17,58.93,92.66,98.94
"Decker, Marjorie C.",91.50,47.60,,90.72,44.11,88.93,80.00,87.16,89.33,69.97,57.74,56.10,89.88,63.82,61.98,52.68,52.55,57.95,92.57,99.00
"Dixon, Vincent Lawrence",53.32,9.20,9.28,,8.33,46.29,28.43,40.66,52.41,18.82,12.81,13.50,48.79,16.26,13.40,10.24,10.36,12.69,56.77,92.50
"Galluccio, Anthony D.",94.27,54.38,55.89,91.67,,91.52,79.05,87.05,92.76,69.92,70.56,60.53,92.76,66.38,66.87,57.18,65.86,70.52,94.10,99.02
"Hall, Robert L.",60.78,11.40,11.07,53.71,8.48,,34.78,48.41,59.28,23.00,14.89,16.10,55.51,20.37,16.41,12.90,13.31,16.04,62.73,94.09
"Horowitz, Jacob",76.18,12.75,20.00,71.57,20.95,65.22,,67.82,74.87,35.57,30.42,21.05,72.08,28.74,30.85,18.42,28.36,32.28,77.75,96.50
"Iskovitz, Steve",65.24,12.59,12.84,59.34,12.95,51.59,32.18,,63.55,25.83,20.15,17.77,60.25,22.18,20.23,14.61,18.42,21.33,68.98,95.13
"Jens, Steven E.",56.07,10.02,10.67,47.59,7.24,40.72,25.13,36.45,,19.56,12.17,13.82,49.35,16.96,14.32,11.51,10.77,13.21,56.86,92.63
"King, Ethridge A.",84.61,24.64,30.03,81.18,30.08,77.00,64.43,74.17,80.44,,41.99,34.94,81.95,44.49,41.22,29.28,39.21,44.06,85.87,97.81
"Maher, David P.",90.41,41.15,42.26,87.19,29.44,85.11,69.58,79.85,87.83,58.01,,49.75,87.60,55.91,53.26,45.00,46.43,53.97,90.52,98.47
"Murphy, Brian",89.69,42.70,43.90,86.50,39.47,83.90,78.95,82.23,86.18,65.06,50.25,,87.13,63.12,55.40,48.12,48.23,52.71,90.44,98.52
"Peixoto, Helder",57.93,9.58,10.12,51.21,7.24,44.49,27.92,39.75,50.65,18.05,12.40,12.87,,18.32,14.98,11.54,11.34,13.27,60.74,93.23
"Pitkin, John",86.61,32.60,36.18,83.74,33.62,79.63,71.26,77.82,83.04,55.51,44.09,36.88,81.68,,47.11,38.83,42.29,46.80,88.33,98.01
"Reeves, Kenneth E.",89.15,38.85,38.02,86.60,33.13,83.59,69.15,79.77,85.68,58.78,46.74,44.60,85.02,52.89,,42.73,44.56,50.31,89.97,98.34
"Simmons, Denise",91.33,45.46,47.32,89.76,42.82,87.10,81.58,85.39,88.49,70.72,55.00,51.88,88.46,61.17,57.27,,53.08,57.25,92.85,98.75
"Sullivan, Michael A.",92.32,45.83,47.45,89.64,34.14,86.69,71.64,81.58,89.23,60.79,53.57,51.77,88.66,57.71,55.44,46.92,,61.42,92.45,98.64
"Toomey, Timothy J., Jr.",90.53,41.07,42.05,87.31,29.48,83.96,67.72,78.67,86.79,55.94,46.03,47.29,86.73,53.20,49.69,42.75,38.58,,90.88,98.34
"Williamson, James M.",52.80,7.34,7.43,43.23,5.90,37.27,22.25,31.02,43.14,14.13,9.48,9.56,39.26,11.67,10.03,7.15,7.55,9.12,,91.08
writeIns,8.47,1.06,1.00,7.50,0.98,5.91,3.50,4.87,7.37,2.19,1.53,1.48,6.77,1.99,1.66,1.25,1.36,1.66,8.92,
