"condorcet winner: Galluccio, Anthony D.","Bellew, Carole K.","Davis, Henrietta","DeBergalis, Matt S.","Decker, Marjorie C.","Dixon, Vincent Lawrence","Galluccio, Anthony D.","Greenwood, Dan J.","Hall, Robert L., Sr.","Kelley, Craig A.","King, Ethridge A., Jr.","LaTremouille, Robert J.","Maher, David P.","Murphy, Brian","Pitkin, John","Reeves, Kenneth E.","Simmons, Denise","Smith, Aimee Louise","Sullivan, Michael A.","Taymorberry, Laurie","Toomey, Timothy J., Jr.",writeIns
"Bellew, Carole K.",,3140.00,4403.00,3737.00,4966.00,3854.00,4981.00,4883.00,4256.00,4387.00,4892.00,4115.00,3411.00,3941.00,4130.00,3606.00,4471.00,4016.00,4263.00,4050.00,5343.00
"Davis, Henrietta",7542.00,,8140.00,6576.00,8722.00,6803.00,8781.00,8688.00,7921.00,8252.00,8683.00,7408.00,6466.00,7594.00,6970.00,6556.00,8248.00,7072.00,8188.00,7332.00,9022.00
"DeBergalis, Matt S.",2865.00,2557.00,,3120.00,3873.00,3161.00,3893.00,3826.00,3471.00,3352.00,3829.00,3344.00,2789.00,3305.00,3345.00,2920.00,3493.00,3229.00,3357.00,3304.00,4285.00
"Decker, Marjorie C.",7206.00,5247.00,7603.00,,8236.00,6207.00,8304.00,8219.00,7505.00,7808.00,8214.00,6879.00,6213.00,7174.00,6481.00,6014.00,7805.00,6427.00,7821.00,6806.00,8562.00
"Dixon, Vincent Lawrence",1091.00,981.00,1169.00,983.00,,1034.00,1546.00,1473.00,1305.00,1298.00,1520.00,1119.00,1108.00,1193.00,1111.00,1036.00,1263.00,971.00,1228.00,1049.00,1984.00
"Galluccio, Anthony D.",9134.00,7960.00,9419.00,8060.00,9923.00,,10082.00,9980.00,9359.00,9526.00,10020.00,8160.00,8615.00,9308.00,8419.00,8487.00,9771.00,7466.00,9747.00,7982.00,10307.00
"Greenwood, Dan J.",819.00,774.00,857.00,760.00,955.00,680.00,,1146.00,1010.00,1019.00,1211.00,869.00,867.00,965.00,871.00,855.00,1014.00,774.00,978.00,810.00,1658.00
"Hall, Robert L., Sr.",1268.00,1196.00,1366.00,1159.00,1529.00,930.00,1437.00,,1488.00,1446.00,1738.00,1245.00,1345.00,1464.00,1243.00,1219.00,1556.00,1093.00,1495.00,1167.00,2178.00
"Kelley, Craig A.",3373.00,2943.00,3548.00,2990.00,3921.00,3034.00,3863.00,3788.00,,3791.00,4096.00,3434.00,3113.00,3379.00,3499.00,3268.00,3793.00,3338.00,3787.00,3457.00,4526.00
"King, Ethridge A., Jr.",2791.00,2166.00,2991.00,2623.00,3658.00,2666.00,3623.00,3496.00,3181.00,,3781.00,3114.00,2657.00,3260.00,2776.00,2336.00,3516.00,2988.00,3262.00,3124.00,4214.00
"LaTremouille, Robert J.",1172.00,1034.00,1230.00,1073.00,1395.00,985.00,1360.00,1236.00,1115.00,1141.00,,1211.00,1191.00,1269.00,1194.00,1155.00,1349.00,1088.00,1349.00,1138.00,2024.00
"Maher, David P.",6701.00,5539.00,7020.00,5692.00,7411.00,3915.00,7464.00,7363.00,6835.00,6931.00,7404.00,,6079.00,6873.00,6324.00,6215.00,7315.00,4922.00,7209.00,5583.00,7833.00
"Murphy, Brian",6417.00,4878.00,6674.00,5341.00,7405.00,5370.00,7452.00,7374.00,6634.00,6907.00,7380.00,5654.00,,6555.00,6216.00,5736.00,7144.00,5766.00,7046.00,6145.00,7806.00
"Pitkin, John",3796.00,3191.00,4115.00,3439.00,4461.00,3479.00,4460.00,4358.00,3705.00,4020.00,4360.00,3674.00,3243.00,,3943.00,3647.00,4283.00,3771.00,4240.00,3870.00,4976.00
"Reeves, Kenneth E.",6265.00,5007.00,6503.00,4804.00,6983.00,4876.00,7035.00,6956.00,6383.00,6601.00,6948.00,5509.00,5259.00,6193.00,,5189.00,6730.00,5480.00,6702.00,5762.00,7363.00
"Simmons, Denise",6632.00,4909.00,7103.00,5358.00,7669.00,5817.00,7713.00,7643.00,6941.00,7185.00,7634.00,6341.00,5441.00,6667.00,5412.00,,7331.00,6361.00,7308.00,6655.00,8021.00
"Smith, Aimee Louise",2371.00,2013.00,2401.00,1945.00,2760.00,2204.00,2745.00,2641.00,2379.00,2456.00,2691.00,2346.00,2115.00,2318.00,2099.00,1818.00,,2340.00,2514.00,2378.00,3229.00
"Sullivan, Michael A.",7925.00,6978.00,8124.00,7056.00,8549.00,4850.00,8596.00,8482.00,7995.00,8031.00,8512.00,6117.00,7217.00,7900.00,6923.00,7009.00,8290.00,,8386.00,6577.00,8878.00
"Taymorberry, Laurie",2422.00,1819.00,2639.00,2079.00,3137.00,2477.00,3158.00,3091.00,2685.00,2600.00,3078.00,2635.00,1963.00,2508.00,2442.00,1689.00,2521.00,2522.00,,2735.00,3602.00
"Toomey, Timothy J., Jr.",6789.00,5996.00,6893.00,5936.00,7269.00,4020.00,7351.00,7252.00,6833.00,6829.00,7280.00,5019.00,6154.00,6765.00,5862.00,5903.00,7038.00,4140.00,7009.00,,7618.00
writeIns,153.00,156.00,144.00,151.00,165.00,129.00,168.00,171.00,152.00,153.00,172.00,142.00,149.00,153.00,156.00,149.00,160.00,140.00,158.00,147.00,
