"condorcet winner: McGovern, Marc C.","Fantini, Alfred B.","Grassi, Joseph G.","Harding, Richard, Jr.","Lemily Wiggins, Gail","Malner, Stefan","McGovern, Marc C.","Nolan, Patricia M.","Schuster, Luc","Tauber, Nancy",writeIns
"Fantini, Alfred B.",,54.90,52.32,59.45,81.40,45.26,47.39,49.09,53.52,98.66
"Grassi, Joseph G.",45.10,,51.24,58.55,81.09,44.33,46.06,48.67,52.27,98.53
"Harding, Richard, Jr.",47.68,48.76,,60.48,82.24,41.84,44.73,49.04,54.31,98.72
"Lemily Wiggins, Gail",40.55,41.45,39.52,,81.59,33.22,35.11,38.62,42.71,98.39
"Malner, Stefan",18.60,18.91,17.76,18.41,,15.15,16.26,18.52,16.70,96.72
"McGovern, Marc C.",54.74,55.67,58.16,66.78,84.85,,54.60,57.86,62.84,99.06
"Nolan, Patricia M.",52.61,53.94,55.27,64.89,83.74,45.40,,55.89,61.03,98.89
"Schuster, Luc",50.91,51.33,50.96,61.38,81.48,42.14,44.11,,57.27,98.70
"Tauber, Nancy",46.48,47.73,45.69,57.29,83.30,37.16,38.97,42.73,,98.56
writeIns,1.34,1.47,1.28,1.61,3.28,0.94,1.11,1.30,1.44,
