"condorcet winner: McGovern, Marc C.","Fantini, Alfred B.","Grassi, Joseph G.","Harding, Richard, Jr.","Lemily Wiggins, Gail","Malner, Stefan","McGovern, Marc C.","Nolan, Patricia M.","Schuster, Luc","Tauber, Nancy",writeIns
"Fantini, Alfred B.",,4095.00,4571.00,5051.00,5613.00,4511.00,4519.00,4526.00,4892.00,6101.00
"Grassi, Joseph G.",3364.00,,4395.00,4895.00,5443.00,4399.00,4324.00,4442.00,4664.00,5904.00
"Harding, Richard, Jr.",4165.00,4182.00,,5022.00,5645.00,3904.00,3984.00,4226.00,4716.00,6091.00
"Lemily Wiggins, Gail",3445.00,3465.00,3281.00,,4189.00,2861.00,2937.00,3015.00,2890.00,4711.00
"Malner, Stefan",1283.00,1269.00,1219.00,945.00,,1148.00,1194.00,1253.00,964.00,2415.00
"McGovern, Marc C.",5455.00,5525.00,5427.00,5750.00,6429.00,,4991.00,5232.00,5497.00,7035.00
"Nolan, Patricia M.",5016.00,5064.00,4922.00,5427.00,6148.00,4150.00,,4758.00,5269.00,6602.00
"Schuster, Luc",4693.00,4685.00,4391.00,4791.00,5513.00,3810.00,3755.00,,4622.00,6066.00
"Tauber, Nancy",4249.00,4259.00,3967.00,3876.00,4808.00,3250.00,3364.00,3449.00,,5357.00
writeIns,83.00,88.00,79.00,77.00,82.00,67.00,74.00,80.00,78.00,
