"condorcet winner: Davis, Henrietta","Adkins, Lawrence J.","Cheung, Leland","Davis, Henrietta","Decker, Marjorie C.","Flanagan, Mark F.","Glick, Silvia P.","Kelley, Craig A.","Leavitt, Neal W.","Maher, David P.","Marquardt, Charles J.","Moree, Gregg J.","Podgers, Kathy","Reeves, Kenneth E.","Seidel, Sam","Simmons, E. Denise","Stohlman, Jr., Thomas J.","Sullivan, Edward J.","Toomey, Jr., Timothy J.","Ward, Larry W.","Williamson, James M.","vanBeuzekom, Minka Y.",writeIns
"Adkins, Lawrence J.",,22.59,11.44,32.98,52.12,34.88,16.60,44.53,15.07,37.09,62.25,49.94,14.65,14.48,9.58,30.68,21.53,13.81,14.08,51.72,22.38,93.61
"Cheung, Leland",77.41,,28.39,58.12,81.60,67.93,41.58,76.82,39.21,69.44,86.18,81.39,41.11,37.32,29.79,65.22,51.58,37.78,42.30,81.88,52.53,97.75
"Davis, Henrietta",88.56,71.61,,75.40,89.56,84.30,66.35,87.81,62.88,83.06,92.51,90.58,63.24,63.41,52.01,81.41,69.20,59.13,66.37,90.42,74.07,98.89
"Decker, Marjorie C.",67.02,41.88,24.60,,66.53,55.12,34.95,61.89,32.32,57.39,73.40,67.92,36.21,32.50,25.93,52.76,44.00,32.67,36.55,70.62,44.43,95.98
"Flanagan, Mark F.",47.88,18.40,10.44,33.47,,37.39,17.83,47.21,14.79,39.15,65.61,53.94,17.30,15.26,11.44,32.29,21.26,13.39,16.83,53.98,24.14,93.42
"Glick, Silvia P.",65.12,32.07,15.70,44.88,62.61,,26.42,63.16,25.75,55.79,77.71,69.59,27.78,23.79,17.87,47.74,36.96,24.79,27.77,70.73,36.30,96.07
"Kelley, Craig A.",83.40,58.42,33.65,65.05,82.17,73.58,,81.33,48.25,76.82,89.34,84.32,49.81,48.01,37.92,72.42,58.86,45.51,51.95,86.03,62.39,98.27
"Leavitt, Neal W.",55.47,23.18,12.19,38.11,52.79,36.84,18.67,,19.03,45.79,71.48,59.79,21.59,17.52,14.16,37.80,28.36,18.19,20.99,61.49,27.71,94.94
"Maher, David P.",84.93,60.79,37.12,67.68,85.21,74.25,51.75,80.97,,77.93,91.74,86.03,53.53,49.88,39.91,74.43,65.40,50.31,55.65,87.60,64.11,98.29
"Marquardt, Charles J.",62.91,30.56,16.94,42.61,60.85,44.21,23.18,54.21,22.07,,77.14,66.65,25.92,23.07,18.10,45.50,34.10,21.86,26.08,68.77,34.04,95.44
"Moree, Gregg J.",37.75,13.82,7.49,26.60,34.39,22.29,10.66,28.52,8.26,22.86,,41.48,11.55,11.12,7.98,24.93,15.24,9.21,11.33,44.28,18.26,91.43
"Podgers, Kathy",50.06,18.61,9.42,32.08,46.06,30.41,15.68,40.21,13.97,33.35,58.52,,16.51,15.16,10.32,33.60,23.02,14.08,16.70,56.47,23.62,93.20
"Reeves, Kenneth E.",85.35,58.89,36.76,63.79,82.70,72.22,50.19,78.41,46.47,74.08,88.45,83.49,,47.84,35.27,70.13,61.33,47.03,53.57,87.11,61.55,98.35
"Seidel, Sam",85.52,62.68,36.59,67.50,84.74,76.21,51.99,82.48,50.12,76.93,88.88,84.84,52.16,,41.42,76.14,62.69,50.92,57.47,87.69,66.42,98.38
"Simmons, E. Denise",90.42,70.21,47.99,74.07,88.56,82.13,62.08,85.84,60.09,81.90,92.02,89.68,64.73,58.58,,80.40,70.81,60.96,68.68,91.69,72.87,98.82
"Stohlman, Jr., Thomas J.",69.32,34.78,18.59,47.24,67.71,52.26,27.58,62.20,25.57,54.50,75.07,66.40,29.87,23.86,19.60,,40.33,28.04,31.58,74.45,41.15,96.38
"Sullivan, Edward J.",78.47,48.42,30.80,56.00,78.74,63.04,41.14,71.64,34.60,65.90,84.76,76.98,38.67,37.31,29.19,59.67,,33.80,42.58,82.99,52.61,97.44
"Toomey, Jr., Timothy J.",86.19,62.22,40.87,67.33,86.61,75.21,54.49,81.81,49.69,78.14,90.79,85.92,52.97,49.08,39.04,71.96,66.20,,57.83,89.03,65.19,98.35
"Ward, Larry W.",85.92,57.70,33.63,63.45,83.17,72.23,48.05,79.01,44.35,73.92,88.67,83.30,46.43,42.53,31.32,68.42,57.42,42.17,,87.93,59.31,98.19
"Williamson, James M.",48.28,18.12,9.58,29.38,46.02,29.27,13.97,38.51,12.40,31.23,55.72,43.53,12.89,12.31,8.31,25.55,17.01,10.97,12.07,,17.46,92.50
"vanBeuzekom, Minka Y.",77.62,47.47,25.93,55.57,75.86,63.70,37.61,72.29,35.89,65.96,81.74,76.38,38.45,33.58,27.13,58.85,47.39,34.81,40.69,82.54,,97.36
writeIns,6.39,2.25,1.11,4.02,6.58,3.93,1.73,5.06,1.71,4.56,8.57,6.80,1.65,1.62,1.18,3.62,2.56,1.65,1.81,7.50,2.64,
