"condorcet winner: Turkel, Alice L.","Fantini, Alfred B.","Forster, Bill","Gerber, Joyce C.","Harding, Jr., Richard","Holland, John J.","McGovern, Marc C.","Nolan, Patricia M.","Osborne, Mervan F.","Stead, Sr., Charles Lewis","Tauber, Nancy","Turkel, Alice L.",writeIns
"Fantini, Alfred B.",,77.25,70.07,48.67,76.58,44.24,42.17,48.93,77.24,41.77,40.66,98.28
"Forster, Bill",22.75,,43.62,23.34,51.28,19.52,18.01,23.84,52.73,18.72,17.66,96.01
"Gerber, Joyce C.",29.93,56.38,,28.98,59.22,25.02,21.57,29.31,60.79,22.70,21.78,96.78
"Harding, Jr., Richard",51.33,76.66,71.02,,76.71,45.83,43.83,52.12,80.82,44.80,43.00,98.46
"Holland, John J.",23.42,48.72,40.78,23.29,,21.24,19.79,25.94,54.21,21.33,20.21,96.10
"McGovern, Marc C.",55.76,80.48,74.98,54.17,78.76,,49.43,55.92,81.21,51.15,48.09,98.55
"Nolan, Patricia M.",57.83,81.99,78.43,56.17,80.21,50.57,,58.59,81.25,53.31,49.33,98.65
"Osborne, Mervan F.",51.07,76.16,70.69,47.88,74.06,44.08,41.41,,77.92,46.28,44.06,98.25
"Stead, Sr., Charles Lewis",22.76,47.27,39.21,19.18,45.79,18.79,18.75,22.08,,20.95,19.52,95.95
"Tauber, Nancy",58.23,81.28,77.30,55.20,78.67,48.85,46.69,53.72,79.05,,47.87,98.59
"Turkel, Alice L.",59.34,82.34,78.22,57.00,79.79,51.91,50.67,55.94,80.48,52.13,,98.61
writeIns,1.72,3.99,3.22,1.54,3.90,1.45,1.35,1.75,4.05,1.41,1.39,
