"condorcet winner: Walser, Nancy","Fantini, Alfred B.","Grassi, Joseph G.","Harding, Richard, Jr.","Lummis, Ben","McGovern, Marc C.","Nolan, Patricia M.","Schuster, Luc","Walser, Nancy",writeIns
"Fantini, Alfred B.",,51.20,48.98,50.04,49.26,47.84,51.70,43.52,98.39
"Grassi, Joseph G.",48.80,,50.05,50.41,50.37,47.31,51.60,43.91,98.34
"Harding, Richard, Jr.",51.02,49.95,,52.30,50.72,47.75,52.46,45.48,98.57
"Lummis, Ben",49.96,49.59,47.70,,50.36,47.31,52.46,44.23,98.44
"McGovern, Marc C.",50.74,49.63,49.28,49.64,,48.17,53.31,45.67,98.42
"Nolan, Patricia M.",52.16,52.69,52.25,52.69,51.83,,60.02,48.58,98.52
"Schuster, Luc",48.30,48.40,47.54,47.54,46.69,39.98,,44.07,98.41
"Walser, Nancy",56.48,56.09,54.52,55.77,54.33,51.42,55.93,,98.59
writeIns,1.61,1.66,1.43,1.56,1.58,1.48,1.59,1.41,
