"condorcet winner: Nolan, Patricia M.","Cronin, Fran Albin","Fantini, Alfred B.","Gerber, Joyce C.","Harding, Jr., Richard","Holland, John J.","Kadete, Elechi M.","Kelly, Kathleen M.","Nolan, Patricia M.","Osborne, Mervan F.",writeIns
"Cronin, Fran Albin",,45.10,56.07,43.28,69.65,69.70,44.33,31.69,47.14,97.96
"Fantini, Alfred B.",54.90,,60.30,50.06,75.70,72.85,52.48,38.02,53.13,98.22
"Gerber, Joyce C.",43.93,39.70,,39.30,68.17,66.74,40.03,26.03,43.47,97.65
"Harding, Jr., Richard",56.72,49.94,60.70,,76.08,76.85,54.08,38.89,57.86,98.46
"Holland, John J.",30.35,24.30,31.83,23.92,,51.75,27.32,17.73,29.70,96.43
"Kadete, Elechi M.",30.30,27.15,33.26,23.15,48.25,,26.20,17.95,28.58,96.37
"Kelly, Kathleen M.",55.67,47.52,59.97,45.92,72.68,73.80,,36.13,52.87,98.21
"Nolan, Patricia M.",68.31,61.98,73.97,61.11,82.27,82.05,63.87,,71.64,98.82
"Osborne, Mervan F.",52.86,46.87,56.53,42.14,70.30,71.42,47.13,28.36,,97.97
writeIns,2.04,1.78,2.35,1.54,3.57,3.63,1.79,1.18,2.03,
