"condorcet winner: Siddiqui, Sumbul","Akiba, Sukia","Azeem, Burhan","Carlone, Dennis J.","Franklin, Charles J.","Kelley, Craig A.","Kopon, Derek Andrew","Levy, Ilan","Mallon, Alanna M.","McGovern, Marc C.","McNary, Jeffery","Mednick, Risa","Moree, Gregg J.","Musgrave, Adriane","Nolan, Patricia M.","Pitkin, John","Siddiqui, Sumbul","Simmons, E. Denise","Simon, Ben","Sobrinho-Wheeler, Jivan","Toomey, Jr., Timothy J.","Williams, Nicola A.","Zondervan, Quinton Y.",writeIns
"Akiba, Sukia",,35.06,24.59,43.12,24.82,41.19,71.28,20.62,21.82,74.81,38.71,80.11,30.77,22.23,39.99,14.25,17.82,39.98,28.28,28.49,25.53,18.93,96.69
"Azeem, Burhan",64.94,,37.54,59.08,38.61,55.94,81.07,33.30,34.08,84.09,58.93,87.51,46.61,35.78,54.42,22.91,31.34,54.85,42.18,45.97,40.11,31.39,98.20
"Carlone, Dennis J.",75.41,62.46,,74.18,52.83,75.76,89.50,47.80,46.91,89.69,67.97,91.76,59.28,47.70,74.16,40.32,43.66,75.01,56.49,54.41,58.74,44.15,98.99
"Franklin, Charles J.",56.88,40.92,25.82,,31.02,48.72,77.82,28.24,28.61,80.50,47.88,83.62,38.66,27.35,47.78,21.51,26.18,48.79,32.85,35.92,29.87,20.09,97.68
"Kelley, Craig A.",75.18,61.39,47.17,68.98,,74.52,89.16,46.83,46.23,89.86,65.46,92.48,58.68,46.13,72.64,39.53,43.25,72.70,55.44,54.01,55.85,44.11,98.86
"Kopon, Derek Andrew",58.81,44.06,24.24,51.28,25.48,,79.86,31.42,32.02,81.36,49.23,85.16,41.51,23.62,51.66,26.09,29.83,54.56,38.45,38.75,33.71,21.79,97.83
"Levy, Ilan",28.72,18.93,10.50,22.18,10.84,20.14,,11.31,11.84,56.37,22.49,64.06,17.63,9.81,21.49,8.77,10.21,22.20,15.82,14.92,12.69,8.31,93.49
"Mallon, Alanna M.",79.38,66.70,52.20,71.76,53.17,68.58,88.69,,52.87,91.48,77.49,93.71,67.79,51.30,68.19,38.59,48.69,69.22,60.79,63.69,57.43,47.24,98.96
"McGovern, Marc C.",78.18,65.92,53.09,71.39,53.77,67.98,88.16,47.13,,90.69,74.56,93.77,64.81,51.54,68.20,39.85,48.80,68.97,59.74,64.05,56.88,47.50,99.04
"McNary, Jeffery",25.19,15.91,10.31,19.50,10.14,18.64,43.63,8.52,9.31,,20.01,61.42,14.58,9.71,20.42,7.06,8.00,20.67,13.57,13.34,11.38,8.18,92.87
"Mednick, Risa",61.29,41.07,32.03,52.12,34.54,50.77,77.51,22.51,25.44,79.99,,87.29,37.98,31.37,51.16,18.18,25.35,51.74,35.05,39.77,35.89,26.97,97.86
"Moree, Gregg J.",19.89,12.49,8.24,16.38,7.52,14.84,35.94,6.29,6.23,38.58,12.71,,10.91,7.16,16.07,5.53,5.69,16.69,10.93,9.15,9.68,6.97,90.19
"Musgrave, Adriane",69.23,53.39,40.72,61.34,41.32,58.49,82.37,32.21,35.19,85.42,62.02,89.09,,39.87,58.82,26.18,35.20,59.63,48.08,50.80,45.39,35.13,98.45
"Nolan, Patricia M.",77.77,64.22,52.30,72.65,53.87,76.38,90.19,48.70,48.46,90.29,68.63,92.84,60.13,,78.65,42.69,47.09,78.85,58.53,57.21,62.18,48.02,99.06
"Pitkin, John",60.01,45.58,25.84,52.22,27.36,48.34,78.51,31.81,31.80,79.58,48.84,83.93,41.18,21.35,,27.12,30.23,55.50,39.86,39.29,34.31,23.14,97.70
"Siddiqui, Sumbul",85.75,77.09,59.68,78.49,60.47,73.91,91.23,61.41,60.15,92.94,81.82,94.47,73.82,57.31,72.88,,60.01,75.02,70.64,71.08,64.97,55.52,99.24
"Simmons, E. Denise",82.18,68.66,56.34,73.82,56.75,70.17,89.79,51.31,51.20,92.00,74.65,94.31,64.80,52.91,69.77,39.99,,71.85,62.70,69.05,60.18,51.17,99.02
"Simon, Ben",60.02,45.15,24.99,51.21,27.30,45.44,77.80,30.78,31.03,79.33,48.26,83.31,40.37,21.15,44.50,24.98,28.15,,36.46,38.70,29.19,20.15,97.91
"Sobrinho-Wheeler, Jivan",71.72,57.82,43.51,67.15,44.56,61.55,84.18,39.21,40.26,86.43,64.95,89.07,51.92,41.47,60.14,29.36,37.30,63.54,,52.60,48.78,37.43,98.55
"Toomey, Jr., Timothy J.",71.51,54.03,45.59,64.08,45.99,61.25,85.08,36.31,35.95,86.66,60.23,90.85,49.20,42.79,60.71,28.92,30.95,61.30,47.40,,48.33,40.71,98.68
"Williams, Nicola A.",74.47,59.89,41.26,70.13,44.15,66.29,87.31,42.57,43.12,88.62,64.11,90.32,54.61,37.82,65.69,35.03,39.82,70.81,51.22,51.67,,35.10,98.78
"Zondervan, Quinton Y.",81.07,68.61,55.85,79.91,55.89,78.21,91.69,52.76,52.50,91.82,73.03,93.03,64.87,51.98,76.86,44.48,48.83,79.85,62.57,59.29,64.90,,99.14
writeIns,3.31,1.80,1.01,2.32,1.14,2.17,6.51,1.04,0.96,7.13,2.14,9.81,1.55,0.94,2.30,0.76,0.98,2.09,1.45,1.32,1.22,0.86,
