"condorcet winner: Nolan, Patricia M.","Bowman, Manikka L.","Cronin, Fran A.","Crutchfield, Jake W.","Dexter, Emily R.","Fantini, Alfred B.","Kadete, Elechi M.","Kelly, Kathleen M.","Kimbrough, Laurance V.","MacArthur, William","Mitros, Piotr Flawiusz","Nolan, Patricia M.","Weinstein, David J.",writeIns
"Bowman, Manikka L.",,65.53,71.07,50.11,60.14,74.13,55.99,65.60,74.68,79.01,41.25,71.91,98.55
"Cronin, Fran A.",34.47,,60.31,35.26,46.06,60.55,42.18,52.81,63.56,69.12,30.00,60.72,98.08
"Crutchfield, Jake W.",28.93,39.69,,25.39,38.93,52.46,34.12,43.56,57.60,62.78,23.41,52.44,97.42
"Dexter, Emily R.",49.89,64.74,74.61,,63.11,76.48,58.54,67.13,78.94,83.30,44.52,76.55,98.70
"Fantini, Alfred B.",39.86,53.94,61.07,36.89,,63.08,47.29,56.63,66.92,71.17,34.71,63.52,98.21
"Kadete, Elechi M.",25.87,39.45,47.54,23.52,36.92,,32.99,42.24,55.37,61.82,22.61,50.66,97.43
"Kelly, Kathleen M.",44.01,57.82,65.88,41.46,52.71,67.01,,60.30,70.80,75.72,38.23,68.01,98.44
"Kimbrough, Laurance V.",34.40,47.19,56.44,32.87,43.37,57.76,39.70,,63.74,67.74,31.28,59.83,98.01
"MacArthur, William",25.32,36.44,42.40,21.06,33.08,44.63,29.20,36.26,,57.70,20.47,47.68,97.03
"Mitros, Piotr Flawiusz",20.99,30.88,37.22,16.70,28.83,38.18,24.28,32.26,42.30,,16.08,42.20,96.31
"Nolan, Patricia M.",58.75,70.00,76.59,55.48,65.29,77.39,61.77,68.72,79.53,83.92,,79.13,98.89
"Weinstein, David J.",28.09,39.28,47.56,23.45,36.48,49.34,31.99,40.17,52.32,57.80,20.87,,97.28
writeIns,1.45,1.92,2.58,1.30,1.79,2.57,1.56,1.99,2.97,3.69,1.11,2.72,
