"condorcet winner: Nolan, Patricia M.","Bowman, Manikka L.","Cisternino, Pia","Cronin, Fran Albin","Crutchfield, Jake W.","Dexter, Emily R.","Fantini, Alfred B.","Harding, Jr., Richard","Kadete, Elechi M.","Kelly, Kathleen M.","Nolan, Patricia M.","Weinstein, David J.",writeIns
"Bowman, Manikka L.",,4925.00,4598.00,4962.00,4494.00,4740.00,4446.00,5155.00,4164.00,3725.00,4889.00,6069.00
"Cisternino, Pia",2868.00,,3273.00,3442.00,2909.00,3313.00,3238.00,3608.00,2942.00,2328.00,3382.00,4492.00
"Cronin, Fran Albin",5195.00,5554.00,,5787.00,5416.00,4820.00,4658.00,5967.00,4083.00,3601.00,5705.00,6710.00
"Crutchfield, Jake W.",3156.00,3306.00,3306.00,,3336.00,3524.00,3301.00,3768.00,3197.00,2799.00,3583.00,4630.00
"Dexter, Emily R.",4128.00,4424.00,4113.00,4463.00,,4503.00,4337.00,4893.00,3917.00,3306.00,4668.00,5695.00
"Fantini, Alfred B.",5843.00,6195.00,5335.00,6221.00,5989.00,,5195.00,6509.00,5193.00,4820.00,6310.00,7159.00
"Harding, Jr., Richard",5936.00,6437.00,5612.00,6408.00,6175.00,5127.00,,6770.00,5325.00,4882.00,6527.00,7500.00
"Kadete, Elechi M.",2038.00,2368.00,2291.00,2301.00,2132.00,2305.00,2022.00,,2190.00,1953.00,2577.00,3469.00
"Kelly, Kathleen M.",6397.00,6813.00,6013.00,6852.00,6367.00,5754.00,5598.00,7139.00,,4914.00,7053.00,7969.00
"Nolan, Patricia M.",7924.00,8414.00,7598.00,8307.00,7796.00,7479.00,7398.00,8651.00,6785.00,,8594.00,9442.00
"Weinstein, David J.",2984.00,3152.00,2887.00,3199.00,2934.00,3027.00,2819.00,3381.00,2652.00,2287.00,,4330.00
writeIns,105.00,109.00,110.00,113.00,108.00,99.00,102.00,114.00,104.00,100.00,115.00,
