"condorcet winner: Nolan, Patricia M.","Bowman, Manikka L.","Cisternino, Pia","Cronin, Fran Albin","Crutchfield, Jake W.","Dexter, Emily R.","Fantini, Alfred B.","Harding, Jr., Richard","Kadete, Elechi M.","Kelly, Kathleen M.","Nolan, Patricia M.","Weinstein, David J.",writeIns
"Bowman, Manikka L.",,63.20,46.95,61.12,52.12,44.79,42.82,71.67,39.43,31.98,62.10,98.30
"Cisternino, Pia",36.80,,37.08,51.01,39.67,34.84,33.47,60.37,30.16,21.67,51.76,97.63
"Cronin, Fran Albin",53.05,62.92,,63.64,56.84,47.46,45.36,72.26,40.44,32.15,66.40,98.39
"Crutchfield, Jake W.",38.88,48.99,36.36,,42.77,36.16,34.00,62.09,31.81,25.20,52.83,97.62
"Dexter, Emily R.",47.88,60.33,43.16,57.23,,42.92,41.26,69.65,38.09,29.78,61.40,98.14
"Fantini, Alfred B.",55.21,65.16,52.54,63.84,57.08,,50.33,73.85,47.44,39.19,67.58,98.64
"Harding, Jr., Richard",57.18,66.53,54.64,66.00,58.74,49.67,,77.00,48.75,39.76,69.84,98.66
"Kadete, Elechi M.",28.33,39.63,27.74,37.91,30.35,26.15,23.00,,23.48,18.42,43.25,96.82
"Kelly, Kathleen M.",60.57,69.84,59.56,68.19,61.91,52.56,51.25,76.52,,42.00,72.67,98.71
"Nolan, Patricia M.",68.02,78.33,67.85,74.80,70.22,60.81,60.24,81.58,58.00,,78.98,98.95
"Weinstein, David J.",37.90,48.24,33.60,47.17,38.60,32.42,30.16,56.75,27.33,21.02,,97.41
writeIns,1.70,2.37,1.61,2.38,1.86,1.36,1.34,3.18,1.29,1.05,2.59,
