"condorcet winner: Nolan, Patricia M.","Cronin, Fran Albin","Fantini, Alfred B.","Gerber, Joyce C.","Harding, Jr., Richard","Holland, John J.","Kadete, Elechi M.","Kelly, Kathleen M.","Nolan, Patricia M.","Osborne, Mervan F.",writeIns
"Cronin, Fran Albin",,5116.00,5006.00,4901.00,5674.00,5581.00,4349.00,3818.00,4683.00,6623.00
"Fantini, Alfred B.",6227.00,,6541.00,5524.00,7072.00,7042.00,6134.00,4897.00,5708.00,7941.00
"Gerber, Joyce C.",3921.00,4307.00,,4305.00,5069.00,5043.00,3832.00,3017.00,4182.00,6033.00
"Harding, Jr., Richard",6422.00,5512.00,6650.00,,7449.00,7346.00,6206.00,4936.00,6033.00,8220.00
"Holland, John J.",2472.00,2271.00,2368.00,2342.00,,3063.00,2423.00,2003.00,2601.00,4019.00
"Kadete, Elechi M.",2423.00,2624.00,2511.00,2211.00,2852.00,,2261.00,2017.00,2423.00,4063.00
"Kelly, Kathleen M.",5463.00,5554.00,5741.00,5269.00,6443.00,6374.00,,4478.00,5540.00,7426.00
"Nolan, Patricia M.",8232.00,7982.00,8576.00,7758.00,9295.00,9230.00,7916.00,,8375.00,10107.00
"Osborne, Mervan F.",5250.00,5038.00,5440.00,4394.00,6156.00,6057.00,4939.00,3315.00,,7010.00
writeIns,137.00,143.00,144.00,129.00,148.00,152.00,135.00,120.00,145.00,
