"condorcet winner: Walser, Nancy","Fantini, Alfred B.","Grassi, Joseph G.","Harding, Richard, Jr.","Lummis, Ben","McGovern, Marc C.","Nolan, Patricia M.","Schuster, Luc","Walser, Nancy",writeIns
"Fantini, Alfred B.",,4479.00,4989.00,5259.00,5155.00,5288.00,5458.00,4922.00,6898.00
"Grassi, Joseph G.",4269.00,,5020.00,5354.00,5308.00,5208.00,5441.00,4919.00,6970.00
"Harding, Richard, Jr.",5197.00,5009.00,,5299.00,5052.00,5089.00,5178.00,4864.00,7251.00
"Lummis, Ben",5251.00,5266.00,4832.00,,4851.00,4773.00,4955.00,4357.00,7080.00
"McGovern, Marc C.",5310.00,5229.00,4909.00,4781.00,,4846.00,5086.00,4621.00,7210.00
"Nolan, Patricia M.",5766.00,5800.00,5569.00,5315.00,5215.00,,5532.00,5009.00,7255.00
"Schuster, Luc",5100.00,5104.00,4693.00,4491.00,4454.00,3685.00,,4425.00,6363.00
"Walser, Nancy",6387.00,6284.00,5831.00,5494.00,5498.00,5302.00,5615.00,,7922.00
writeIns,113.00,118.00,105.00,112.00,116.00,109.00,103.00,113.00,
