"condorcet winner: Davis, Henrietta","Davis, Henrietta","Decker, Marjorie C.","Galluccio, Anthony D.","Janik, Jonathan S.","Kelley, Craig A.","Maher, David P.","Moore, M. Kevin","Moree, Gregg J.","Murphy, Brian","Podgers, Kathy","Reeves, Kenneth E.","Seidel, Sam","Simmons, E. Denise","Sullivan, Edward J.","Toomey, Timothy J., Jr.","Ward, Larry W.",writeIns
"Davis, Henrietta",,57.75,71.68,84.41,65.26,61.99,79.80,89.15,58.57,89.74,63.65,63.03,55.41,67.51,59.99,68.47,99.07
"Decker, Marjorie C.",42.25,,69.55,80.65,60.66,56.88,77.82,88.25,53.81,87.96,60.82,58.36,50.06,65.08,56.11,64.12,98.88
"Galluccio, Anthony D.",28.32,30.45,,63.01,42.34,38.18,61.34,78.16,36.05,74.92,39.33,40.17,31.18,47.17,34.93,45.02,97.99
"Janik, Jonathan S.",15.59,19.35,36.99,,26.43,26.96,50.18,69.36,21.33,65.77,30.41,23.05,19.23,35.92,26.45,30.26,97.16
"Kelley, Craig A.",34.74,39.34,57.66,73.57,,48.73,72.10,85.27,44.28,83.19,51.63,50.07,41.26,58.14,48.05,56.71,98.68
"Maher, David P.",38.01,43.12,61.82,73.04,51.27,,74.32,86.96,47.96,84.76,54.69,51.85,43.69,64.20,51.78,58.01,98.58
"Moore, M. Kevin",20.20,22.18,38.66,49.82,27.90,25.68,,73.25,25.54,68.83,28.93,29.38,20.04,37.87,27.93,32.74,97.26
"Moree, Gregg J.",10.85,11.75,21.84,30.64,14.73,13.04,26.75,,14.34,48.23,17.53,17.26,12.00,21.40,14.17,18.96,95.14
"Murphy, Brian",41.43,46.19,63.95,78.67,55.72,52.04,74.46,85.66,,86.33,58.51,57.49,48.73,63.19,54.24,63.19,98.72
"Podgers, Kathy",10.26,12.04,25.08,34.23,16.81,15.24,31.17,51.77,13.67,,19.17,18.55,12.33,24.56,16.81,21.71,95.60
"Reeves, Kenneth E.",36.35,39.18,60.67,69.59,48.37,45.31,71.07,82.47,41.49,80.83,,48.74,40.36,58.11,47.78,55.48,98.49
"Seidel, Sam",36.97,41.64,59.83,76.95,49.93,48.15,70.62,82.74,42.51,81.45,51.26,,43.25,59.34,50.01,60.45,98.76
"Simmons, E. Denise",44.59,49.94,68.82,80.77,58.74,56.31,79.96,88.00,51.27,87.67,59.64,56.75,,67.33,58.62,68.26,98.96
"Sullivan, Edward J.",32.49,34.92,52.83,64.08,41.86,35.80,62.13,78.60,36.81,75.44,41.89,40.66,32.67,,38.68,48.50,98.04
"Toomey, Timothy J., Jr.",40.01,43.89,65.07,73.55,51.95,48.22,72.07,85.83,45.76,83.19,52.22,49.99,41.38,61.32,,58.04,98.62
"Ward, Larry W.",31.53,35.88,54.98,69.74,43.29,41.99,67.26,81.04,36.81,78.29,44.52,39.55,31.74,51.50,41.96,,98.48
writeIns,0.93,1.12,2.01,2.84,1.32,1.42,2.74,4.86,1.28,4.40,1.51,1.24,1.04,1.96,1.38,1.52,
