"condorcet winner: Walser, Nancy","Craig, Christopher","Fantini, Alfred B.","Grassi, Joseph G.","Harding, Richard, Jr.","Lummis, Ben","McGovern, Marc C.","Price, Alan C.","Walser, Nancy",writeIns
"Craig, Christopher",,30.37,31.01,25.82,24.32,23.85,28.82,21.50,96.04
"Fantini, Alfred B.",69.63,,55.63,47.66,48.77,48.63,51.48,41.64,97.79
"Grassi, Joseph G.",68.99,44.37,,46.44,47.51,47.51,51.30,40.80,97.74
"Harding, Richard, Jr.",74.18,52.34,53.56,,51.90,51.60,56.60,42.87,98.12
"Lummis, Ben",75.68,51.23,52.49,48.10,,52.05,54.81,43.15,98.18
"McGovern, Marc C.",76.15,51.37,52.49,48.40,47.95,,54.39,44.37,98.15
"Price, Alan C.",71.18,48.52,48.70,43.40,45.19,45.61,,38.10,97.77
"Walser, Nancy",78.50,58.36,59.20,57.13,56.85,55.63,61.90,,98.18
writeIns,3.96,2.21,2.26,1.88,1.82,1.85,2.23,1.82,
