"condorcet winner: Walser, Nancy","Craig, Christopher","Fantini, Alfred B.","Grassi, Joseph G.","Harding, Richard, Jr.","Lummis, Ben","McGovern, Marc C.","Price, Alan C.","Walser, Nancy",writeIns
"Craig, Christopher",,3120.00,3107.00,2857.00,2385.00,2315.00,2887.00,2520.00,4707.00
"Fantini, Alfred B.",7154.00,,5644.00,6102.00,6541.00,6347.00,6405.00,5765.00,8219.00
"Grassi, Joseph G.",6913.00,4502.00,,5839.00,6328.00,6188.00,6321.00,5569.00,7959.00
"Harding, Richard, Jr.",8210.00,6701.00,6735.00,,6823.00,6713.00,6424.00,5696.00,9243.00
"Lummis, Ben",7422.00,6870.00,6990.00,6323.00,,6009.00,6498.00,5762.00,8762.00
"McGovern, Marc C.",7391.00,6705.00,6836.00,6296.00,5536.00,,6531.00,6020.00,8683.00
"Price, Alan C.",7130.00,6036.00,6000.00,4925.00,5357.00,5476.00,,4633.00,8196.00
"Walser, Nancy",9201.00,8080.00,8079.00,7591.00,7592.00,7548.00,7528.00,,10119.00
writeIns,194.00,186.00,184.00,177.00,162.00,164.00,187.00,188.00,
