"condorcet winner: Galluccio, Anthony D.","Bellew, Carole K.","Davis, Henrietta","DeBergalis, Matt S.","Decker, Marjorie C.","Dixon, Vincent Lawrence","Galluccio, Anthony D.","Greenwood, Dan J.","Hall, Robert L., Sr.","Kelley, Craig A.","King, Ethridge A., Jr.","LaTremouille, Robert J.","Maher, David P.","Murphy, Brian","Pitkin, John","Reeves, Kenneth E.","Simmons, Denise","Smith, Aimee Louise","Sullivan, Michael A.","Taymorberry, Laurie","Toomey, Timothy J., Jr.",writeIns
"Bellew, Carole K.",,29.40,60.58,34.15,81.99,29.67,85.88,79.39,55.79,61.12,80.67,38.05,34.71,50.94,39.73,35.22,65.35,33.63,63.77,37.37,97.22
"Davis, Henrietta",70.60,,76.10,55.62,89.89,46.08,91.90,87.90,72.91,79.21,89.36,57.22,57.00,70.41,58.19,57.18,80.38,50.33,81.82,55.01,98.30
"DeBergalis, Matt S.",39.42,23.90,,29.10,76.81,25.13,81.96,73.69,49.45,52.85,75.69,32.27,29.47,44.54,33.97,29.13,59.26,28.44,55.99,32.40,96.75
"Decker, Marjorie C.",65.85,44.38,70.90,,89.34,43.51,91.62,87.64,71.51,74.85,88.45,54.72,53.77,67.60,57.43,52.88,80.05,47.67,79.00,53.41,98.27
"Dixon, Vincent Lawrence",18.01,10.11,23.19,10.66,,9.44,61.82,49.07,24.97,26.19,52.14,13.12,13.02,21.10,13.73,11.90,31.39,10.20,28.13,12.61,92.32
"Galluccio, Anthony D.",70.33,53.92,74.87,56.49,90.56,,93.68,91.48,75.52,78.13,91.05,67.58,61.60,72.79,63.32,59.33,81.59,60.62,79.74,66.51,98.76
"Greenwood, Dan J.",14.12,8.10,18.04,8.38,38.18,6.32,,44.37,20.73,21.95,47.10,10.43,10.42,17.79,11.02,9.98,26.98,8.26,23.65,9.93,90.80
"Hall, Robert L., Sr.",20.61,12.10,26.31,12.36,50.93,8.52,55.63,,28.20,29.26,58.44,14.46,15.43,25.15,15.16,13.76,37.07,11.42,32.60,13.86,92.72
"Kelley, Craig A.",44.21,27.09,50.55,28.49,75.03,24.48,79.27,71.80,,54.37,78.60,33.44,31.94,47.70,35.41,32.01,61.45,29.45,58.51,33.60,96.75
"King, Ethridge A., Jr.",38.88,20.79,47.15,25.15,73.81,21.87,78.05,70.74,45.63,,76.82,31.00,27.78,44.78,29.60,24.54,58.87,27.12,55.65,31.39,96.50
"LaTremouille, Robert J.",19.33,10.64,24.31,11.55,47.86,8.95,52.90,41.56,21.40,23.18,,14.06,13.90,22.54,14.66,13.14,33.39,11.33,30.47,13.52,92.17
"Maher, David P.",61.95,42.78,67.73,45.28,86.88,32.42,89.57,85.54,66.56,69.00,85.94,,51.81,65.17,53.44,49.50,75.72,44.59,73.23,52.66,98.22
"Murphy, Brian",65.29,43.00,70.53,46.23,86.98,38.40,89.58,84.57,68.06,72.22,86.10,48.19,,66.90,54.17,51.32,77.16,44.41,78.21,49.96,98.13
"Pitkin, John",49.06,29.59,55.46,32.40,78.90,27.21,82.21,74.85,52.30,55.22,77.46,34.83,33.10,,38.90,35.36,64.88,32.31,62.83,36.39,97.02
"Reeves, Kenneth E.",60.27,41.81,66.03,42.57,86.27,36.68,88.98,84.84,64.59,70.40,85.34,46.56,45.83,61.10,,48.95,76.23,44.18,73.29,49.57,97.93
"Simmons, Denise",64.78,42.82,70.87,47.12,88.10,40.67,90.02,86.24,67.99,75.46,86.86,50.50,48.68,64.64,51.05,,80.13,47.58,81.23,52.99,98.18
"Smith, Aimee Louise",34.65,19.62,40.74,19.95,68.61,18.41,73.02,62.93,38.55,41.13,66.61,24.28,22.84,35.12,23.77,19.87,,22.01,49.93,25.25,95.28
"Sullivan, Michael A.",66.37,49.67,71.56,52.33,89.80,39.38,91.74,88.58,70.55,72.88,88.67,55.41,55.59,67.69,55.82,52.42,77.99,,76.88,61.37,98.45
"Taymorberry, Laurie",36.23,18.18,44.01,21.00,71.87,20.26,76.35,67.40,41.49,44.35,69.53,26.77,21.79,37.17,26.71,18.77,50.07,23.12,,28.07,95.80
"Toomey, Timothy J., Jr.",62.63,44.99,67.60,46.59,87.39,33.49,90.07,86.14,66.40,68.61,86.48,47.34,50.04,63.61,50.43,47.01,74.75,38.63,71.93,,98.11
writeIns,2.78,1.70,3.25,1.73,7.68,1.24,9.20,7.28,3.25,3.50,7.83,1.78,1.87,2.98,2.07,1.82,4.72,1.55,4.20,1.89,
