"condorcet winner: Dexter, Emily R.","Allen, Ruth Ryan","Bowman, Mannika L.","Dawson, Bernette J.","Dexter, Emily R.","Fantini, Alfred B.","Kadete, Elechi M.","Lim, Christopher","Rojas Villareal, Jose Luis","Weinstain, Rachel","Weinstein, David J.","Wilson, Ayesha",writeIns
"Allen, Ruth Ryan",,3075.00,3700.00,2916.00,3256.00,3931.00,3806.00,3730.00,3113.00,3707.00,2866.00,5130.00
"Bowman, Mannika L.",8936.00,,8713.00,7067.00,7904.00,8951.00,8856.00,8612.00,7838.00,8658.00,7394.00,10107.00
"Dawson, Bernette J.",4643.00,3334.00,,3678.00,4399.00,4768.00,4593.00,4459.00,3852.00,4475.00,3347.00,5894.00
"Dexter, Emily R.",9861.00,7161.00,9353.00,,9060.00,9745.00,9692.00,9285.00,8716.00,9425.00,8391.00,11052.00
"Fantini, Alfred B.",7609.00,5418.00,7475.00,5147.00,,7848.00,7562.00,7495.00,6913.00,7512.00,6763.00,8993.00
"Kadete, Elechi M.",4796.00,3456.00,4282.00,3110.00,4222.00,,4583.00,4046.00,3916.00,4458.00,3119.00,5975.00
"Lim, Christopher",4889.00,3689.00,4385.00,3247.00,4181.00,4528.00,,4364.00,4068.00,4600.00,3746.00,6138.00
"Rojas Villareal, Jose Luis",5929.00,4394.00,5371.00,3824.00,5189.00,5149.00,5299.00,,4855.00,5475.00,4178.00,7091.00
"Weinstain, Rachel",7537.00,5882.00,6979.00,5332.00,6740.00,7264.00,7084.00,6850.00,,6876.00,6011.00,8747.00
"Weinstein, David J.",5495.00,4228.00,4986.00,3467.00,4795.00,4866.00,4915.00,4428.00,4301.00,,4220.00,6678.00
"Wilson, Ayesha",8720.00,6689.00,8048.00,6396.00,7800.00,8038.00,8200.00,7717.00,7052.00,7851.00,,9722.00
writeIns,99.00,95.00,108.00,95.00,95.00,106.00,108.00,103.00,97.00,100.00,89.00,
