Ballots with first choice:,Number of Ballots,% of votes to JODY LONDON,% of votes to writeIns,% of votes to THEARSE PECOT,% of votes to exhaust,percent_sum
JODY LONDON,19840,100,0,0,0,100
THEARSE PECOT,6290,0,0,100,0,100
writeIns,184,0,100,0,0,100
