Ballots with first choice:,Number of Ballots,% of votes to DAVID CHIU,"% of votes to JOSEPH ALIOTO, JR.",% of votes to exhaust,percent_sum
CLAUDINE CHENG,2515.0,41.91,28.07,30.02,100.0
DAVID CHIU,10270.0,100.0,0.0,0.0,100.0
DENISE MCCARTHY,3172.0,32.94,27.33,39.72,100.0
"JOSEPH ALIOTO, JR.",6285.0,0.0,100.0,0.0,100.0
LYNN JEFFERSON,1235.0,20.32,29.31,50.36,99.99999999999997
MARK QUESSEY,204.0,24.02,16.67,59.31,99.99999999999999
MIKE DENUNZIO,1335.0,9.96,39.85,50.19,100.0
TONY GANTNER,1195.0,33.05,30.21,36.74,99.99999999999999
WILMA PANG,952.0,40.02,15.23,44.75,100.0
writeIns,35.0,11.43,2.86,85.71,100.0
