Ballots with first choice:,Number of Ballots,% of votes to writeIns,% of votes to MICHAEL KILIAN,% of votes to COURTNEY RUBY,% of votes to exhaust,percent_sum
COURTNEY RUBY,65335,0,0,100,0,100
MICHAEL KILIAN,31086,0,100,0,0,100
writeIns,1204,100,0,0,0,100
