Ballots with first choice:,Number of Ballots,% of votes to Bernie Sanders,% of votes to Joseph R. Biden,% of votes to exhaust,percent_sum
Amy Klobuchar,133.0,21.8,65.41,12.78,100.0
Bernie Sanders,7764.0,100.0,0.0,0.0,100.0
Elizabeth Warren,1402.0,54.56,41.73,3.71,99.99999999999999
Joseph R. Biden,9862.0,0.0,100.0,0.0,100.0
Michael R. Bloomberg,97.0,23.71,64.95,11.34,100.0
Pete Buttigieg,248.0,32.26,62.5,5.24,99.99999999999999
Tom Steyer,65.0,36.92,52.31,10.77,100.0
Tulsi Gabbard,124.0,50.0,25.0,25.0,100.0
Undeclared,64.0,12.5,26.56,60.94,100.0
