Ballots with first choice:,Number of Ballots,% of votes to CLARISSA DOUTHERD,% of votes to GARY D. YEE,% of votes to exhaust,percent_sum
CLARISSA DOUTHERD,10104,100,0,0,100
GARY D. YEE,14534,0,100,0,100
