Ballots with first choice:,Number of Ballots,% of votes to PAM HARRIS,% of votes to SHENG THAO,% of votes to exhaust,percent_sum
CHARLIE MICHELSON,2783.0,23.03,32.63,44.34,99.99999999999999
JOSEPH E. SIMMONS,934.0,41.33,17.67,41.01,99.99999999999999
JOSEPH TANIOS,699.0,21.03,23.32,55.65,100.0
MATT HUMMEL,1142.0,39.32,20.75,39.93,99.99999999999999
NAYELI MAXSON,4086.0,37.0,37.03,25.97,100.0
PAM HARRIS,6825.0,100.0,0.0,0.0,100.0
SHENG THAO,8750.0,0.0,100.0,0.0,100.0
