Ballots with first choice:,Number of Ballots,% of votes to Gerardo Sandoval,% of votes to Phil Ting,% of votes to exhaust,percent_sum
Anthony Faber,18.0,33.33,38.89,27.78,99.99999999999999
Gerardo Sandoval,71850.0,100.0,0.0,0.0,100.0
Phil Ting,94062.0,0.0,100.0,0.0,100.0
Ronald Chun,33294.0,22.24,48.01,29.75,100.0
