Ballots with first choice:,Number of Ballots,% of votes to Rob Black,% of votes to Chris Daly,% of votes to Davy Jones,% of votes to Matt Drake,% of votes to exhaust,percent_sum
Chris Daly,8746.0,0.0,100.0,0.0,0.0,0.0,100.0
Davy Jones,389.0,0.0,0.0,100.0,0.0,0.0,100.0
George Dias,230.0,21.3,20.87,11.74,20.87,25.22,100.00000000000001
"Manuel Jimenez, Jr.",317.0,22.71,25.87,11.36,8.52,31.55,99.99999999999999
Matt Drake,679.0,0.0,0.0,0.0,100.0,0.0,100.0
Rob Black,7115.0,100.0,0.0,0.0,0.0,0.0,100.0
Robert Jordan,125.0,17.6,18.4,10.4,10.4,43.2,100.0
Viliam Dugovic,340.0,13.24,20.29,12.06,30.0,24.41,99.99999999999999
