Ballots with first choice:,Number of Ballots,% of votes to LAURIE CAPITELLI,% of votes to ZACHARY RUNNINGWOLF,% of votes to KRISS WORTHINGTON,% of votes to BEN GOULD,% of votes to JESSE ARREGUÍN,% of votes to exhaust,percent_sum
BEN GOULD,1744.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0
BERNT RAINER WAHL,1673.0,12.85,10.28,23.43,22.95,13.21,17.27,100.0
GUY ''MIKE'' LEE,954.0,12.89,21.8,11.43,13.94,20.23,19.71,99.99999999999999
JESSE ARREGUÍN,29039.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0
KRISS WORTHINGTON,4746.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
LAURIE CAPITELLI,18995.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0
NAOMI D. PETE,372.0,18.28,13.44,13.98,9.14,12.37,32.8,100.0
ZACHARY RUNNINGWOLF,1621.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
