Ballots with first choice:,Number of Ballots,% of votes to REBECCA KAPLAN,% of votes to LIBBY SCHAAF,% of votes to exhaust,percent_sum
BRYAN PARKER,7955.0,21.99,31.4,46.61,99.99999999999999
CHARLES R. WILLIAMS,1052.0,22.91,6.56,70.53,100.0
COURTNEY RUBY,3115.0,14.54,45.65,39.81,100.0
DAN SIEGEL,13122.0,35.06,29.39,35.55,100.0
ERIC WILSON,393.0,24.43,7.12,68.45,100.0
JASON ANDERSON,1550.0,17.74,9.68,72.58,100.0
JEAN QUAN,15808.0,26.96,26.22,46.82,100.0
JOE TUMAN,12251.0,13.66,51.83,34.51,100.0
KEN HOUSTON,518.0,28.76,9.65,61.58,100.0
LIBBY SCHAAF,30041.0,0.0,100.0,0.0,100.0
NANCY SIDEBOTHAM,267.0,21.35,15.73,62.92,100.0
PAT MCCULLOUGH,362.0,16.57,14.64,68.78,100.0
PETER LIU,464.0,10.99,13.15,75.86,100.0
REBECCA KAPLAN,14693.0,100.0,0.0,0.0,100.0
SAIED KARAMOOZ,264.0,20.45,15.15,64.39,100.0
SAMMUEL WASHINGTON,33.0,21.21,3.03,75.76,100.0
