Ballots with first choice:,Number of Ballots,% of votes to PATRICIA KERNIGHAN,% of votes to JENNIFER S. PAE,% of votes to writeIns,% of votes to exhaust,percent_sum
JENNIFER S. PAE,4604,0,100,0,0,100
PATRICIA KERNIGHAN,8954,100,0,0,0,100
writeIns,75,0,0,100,0,100
