Ballots with first choice:,Number of Ballots,% of votes to DAVID KAKISHIBA,% of votes to writeIns,% of votes to exhaust,percent_sum
DAVID KAKISHIBA,9892,100,0,0,100
writeIns,232,0,100,0,100
